Id,Start time,Completion time,Email,Name,Choose Chancellor/ Associate Deanship/School:,Chancellor Units,Deanship of Academic Affairs Units,Deanship of Investigation,Deanship of Students,Deanship of Administration,School of Medicine,School of Dental Medicine,School of Nursing,School of Pharmacy,School of Health Professions,Graduate School of Public Health,Staff or Faculty member completing this information (first and last name; Ex: Juan Del Pueblo),Institutional Email (@upr.edu),Project or Iniciative,Brief description of the project or initiative,Strategic Topic for the Project or Initiative,Select Goal for the ACADEMIC EXCELLENCE AND INNOVATION for the Project or Iniciative - A,Select Goal for the RESEARCH TRANSFORMATION for the Project or Iniciative - B,"Select Goal for the FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY for the Project or Iniciative - C",Select Goal for the WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT for the Project or Iniciative - D,Select the Objective of the selected Goal 1A,Select the Objective of the selected Goal 2A,Select the Objective of the selected Goal 3A,Select the Objective of the selected Goal 1B,Select the Objective of the selected Goal 1C,Select the Objective of the selected Goal 2C,Select the Objective of the selected Goal 3C,Select the Objective of the selected Goal 1D,Select the Objective of the selected Goal 2D,Select the Objective of the selected Goal 3D,Person Responsible for the Project or Initiative,Does the Project/Initiative have a source of income?,Source(s) of Income,Estimated cost of the strategy/initiative in US$ (Academic Year 2025-2026) (Example: 10000.00),Funding Status
140,01/30/2026 14:18,01/30/2026 14:30,heidi.marshall@upr.edu,HEIDI MARSHALL,Dean of Students,,,,Health Services,,,,,,,,Heidi Marshall,heidi.marshall@upr.edu,Health Screening Program - Virtual multi-tasking emulation,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Matthew Mitchell,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311);ISTFA - AYUDA INST ASIST ECON EST (40275);REVF - FONDOS ROTATORIOS (40380),19170.28,Existing
141,01/29/2026 04:07,01/29/2026 04:11,james.murillo@upr.edu,JAMES MURILLO,School of Nursing,,,,,,,,Nursing Simulation Center,,,,James Murillo,james.murillo@upr.edu,Campus Recreation Program - Multi-channeled system-worthy architecture,A comprehensive initiative focused on enhancing quality and implementing best practices.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 2: Optimize participation in collaborative social impact projects in the community.,,,,,,,,,,,James Boyd,Yes,RMF - F PAREO GRANTS (40320);RCI - RECOBRO COSTOS IND (40330);PPMI - MEDICAL PRACTIVE PLAN (40311),33560.77,New
142,01/27/2026 08:28,01/27/2026 08:38,kevin.hardy@upr.edu,KEVIN HARDY,School of Pharmacy,,,,,,,,,Office of the Dean - Pharmacy,,,Kevin Hardy,kevin.hardy@upr.edu,Purchasing System Upgrade - Function-based solution-oriented installation,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Dana Guzman,Yes,FGF - F GRANTS FEDERALES (40231-39),73262.79,New
143,02/18/2026 04:07,02/18/2026 04:22,joseph.wheeler@upr.edu,JOSEPH WHEELER,School of Health Professions,,,,,,,,,,Department of Communicative Disorders,,Joseph Wheeler,joseph.wheeler@upr.edu,Publication Support Initiative - Multi-layered logistical initiative,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Scott Jones,No,,,N/A
144,01/26/2026 08:20,01/26/2026 08:30,shelley.hudson@upr.edu,SHELLEY HUDSON,School of Nursing,,,,,,,,Nursing Simulation Center,,,,Shelley Hudson,shelley.hudson@upr.edu,Energy Sustainability - Assimilated context-sensitive artificial intelligence,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Tammy Hunt,No,,,N/A
145,02/12/2026 07:39,02/12/2026 07:44,steven.parsons@upr.edu,STEVEN PARSONS,Dean of Students,,,,Health Services,,,,,,,,Steven Parsons,steven.parsons@upr.edu,Purchasing System Upgrade - Distributed bottom-line superstructure,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Katrina Frye,No,,,N/A
146,02/13/2026 07:28,02/13/2026 07:34,frederick.morales@upr.edu,FREDERICK MORALES,School of Pharmacy,,,,,,,,,Office of the Dean - Pharmacy,,,Frederick Morales,frederick.morales@upr.edu,Academic Advising System - Programmable full-range service-desk,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Jessica Bishop,Yes,PPMI - MEDICAL PRACTIVE PLAN (40311),13738.26,Pending
147,01/30/2026 21:20,01/30/2026 21:25,madison.wiggins@upr.edu,MADISON WIGGINS,School of Medicine,,,,,,Department of Obstetrics and Gynecology,,,,,,Madison Wiggins,madison.wiggins@upr.edu,Staff Training Program - Multi-layered neutral workforce,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,James Miller,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),99082.02,New
148,02/03/2026 11:04,02/03/2026 11:14,john.norris@upr.edu,JOHN NORRIS,School of Medicine,,,,,,Department of Physiology,,,,,,John Norris,john.norris@upr.edu,Research Infrastructure Development - Monitored empowering infrastructure,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Paul Roberts,Yes,ROPR - PROYECTOS ESPECIALES (40399);REVF - FONDOS ROTATORIOS (40380),38086.23,Pending
149,02/16/2026 19:16,02/16/2026 19:20,sandy.wilson@upr.edu,SANDY WILSON,School of Medicine,,,,,,Department of Internal Medicine,,,,,,Sandy Wilson,sandy.wilson@upr.edu,Research Ethics Compliance - Visionary intermediate workforce,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Kimberly Green,No,,,N/A
150,02/11/2026 21:53,02/11/2026 22:06,alyssa.abbott@upr.edu,ALYSSA ABBOTT,School of Health Professions,,,,,,,,,,Department of Occupational Therapy,,Alyssa Abbott,alyssa.abbott@upr.edu,Social Determinants Project - Devolved global attitude,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Jasmine Bullock,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472);GF - FONDO GENERAL (40110);CPF - MEJORAS PROJETOS FEMA (40471),119172.96,Pending
151,02/03/2026 09:50,02/03/2026 10:04,deborah.howe@upr.edu,DEBORAH HOWE,School of Health Professions,,,,,,,,,,Department of Medical Technology,,Deborah Howe,deborah.howe@upr.edu,Student Research Fellowship - Managed bi-directional portal,An interdisciplinary effort to advance our mission through education and resource optimization.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Rachel Hendrix,Yes,MGRC - CONTRATOS GOB MUNICIPAL (40260);FGF - F GRANTS FEDERALES (40231-39);CPFF - F MEJORAS FONDOS FEDERALES (40470),237103.09,Existing
152,01/26/2026 22:08,01/26/2026 22:13,jackson.li@upr.edu,JACKSON LI,Chancellor,External Relations,,,,,,,,,,,Jackson Li,jackson.li@upr.edu,Infrastructure Improvement - Networked bi-directional access,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,David Johnson,No,,,N/A
153,02/17/2026 08:24,02/17/2026 08:39,jennifer.roberts@upr.edu,JENNIFER ROBERTS,Chancellor,Office of the Chancellor,,,,,,,,,,,Jennifer Roberts,jennifer.roberts@upr.edu,Research Collaboration Network - Synchronized eco-centric benchmark,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Joanna James,No,,,N/A
154,01/31/2026 18:26,01/31/2026 18:36,charles.gardner@upr.edu,CHARLES GARDNER,School of Medicine,,,,,,Department of Obstetrics and Gynecology,,,,,,Charles Gardner,charles.gardner@upr.edu,Infrastructure Improvement - Customizable hybrid benchmark,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Deborah Peterson,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);MGRC - CONTRATOS GOB MUNICIPAL (40260);SGOVC - CONTRATOS GOB PR (40250),172869.74,New
155,02/17/2026 19:05,02/17/2026 19:12,lisa.lucas@upr.edu,LISA LUCAS,School of Nursing,,,,,,,,Graduate Nursing Programs,,,,Lisa Lucas,lisa.lucas@upr.edu,Energy Sustainability - Function-based 24hour help-desk,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Amber Rojas,Yes,FGF - F GRANTS FEDERALES (40231-39);ISTFA - AYUDA INST ASIST ECON EST (40275),238873.12,Existing
156,02/06/2026 08:20,02/06/2026 08:27,dylan.ortiz@upr.edu,DYLAN ORTIZ,School of Nursing,,,,,,,,Graduate Nursing Programs,,,,Dylan Ortiz,dylan.ortiz@upr.edu,Peer Support Network - Switchable clear-thinking open architecture,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Zachary James,Yes,CPF - MEJORAS PROJETOS FEMA (40471),185481.85,Existing
157,01/25/2026 14:43,01/25/2026 14:48,donald.ellis@upr.edu,DONALD ELLIS,Chancellor,Accreditation and Assessment,,,,,,,,,,,Donald Ellis,donald.ellis@upr.edu,Laboratory Equipment Upgrade - Proactive incremental access,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,James Rodriguez,No,,,N/A
158,01/21/2026 21:04,01/21/2026 21:07,joshua.hess@upr.edu,JOSHUA HESS,Graduate School of Public Health,,,,,,,,,,,Department of Epidemiology,Joshua Hess,joshua.hess@upr.edu,Continuing Education Series - Extended motivating moderator,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Haley Hutchinson,Yes,RMF - F PAREO GRANTS (40320);ISTFA - AYUDA INST ASIST ECON EST (40275),161828.58,Existing
159,01/21/2026 04:53,01/21/2026 05:05,dale.lucero@upr.edu,DALE LUCERO,School of Health Professions,,,,,,,,,,Department of Physical Therapy,,Dale Lucero,dale.lucero@upr.edu,Graduate Program Expansion - Digitized systemic implementation,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Timothy Shepherd,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);FGF - F GRANTS FEDERALES (40231-39);GF - FONDO GENERAL (40110),75299.66,Pending
160,02/15/2026 16:36,02/15/2026 16:39,chad.hubbard@upr.edu,CHAD HUBBARD,School of Medicine,,,,,,Department of Pathology,,,,,,Chad Hubbard,chad.hubbard@upr.edu,Peer Support Network - Synergized zero-defect utilization,An interdisciplinary effort to advance our mission through education and resource optimization.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Donald Smith,Yes,FIP - PAREO FONDO INSTITUCIONAL (40120),83340.34,Pending
161,01/23/2026 20:30,01/23/2026 20:39,lisa.ramirez@upr.edu,LISA RAMIREZ,Graduate School of Public Health,,,,,,,,,,,Department of Biostatistics,Lisa Ramirez,lisa.ramirez@upr.edu,Publication Support Initiative - Organized demand-driven capability,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Lisa Matthews,No,,,N/A
162,01/22/2026 21:21,01/22/2026 21:36,jeremy.rose@upr.edu,JEREMY ROSE,School of Dental Medicine,,,,,,,Department of Pediatric Dentistry,,,,,Jeremy Rose,jeremy.rose@upr.edu,Budget Efficiency Initiative - Object-based regional data-warehouse,An interdisciplinary effort to advance our mission through education and resource optimization.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Alicia Moreno,Yes,GF - FONDO GENERAL (40110),65935.53,Existing
163,01/23/2026 08:41,01/23/2026 08:50,robin.smith@upr.edu,ROBIN SMITH,Dean of Administration,,,,,Finance Office,,,,,,,Robin Smith,robin.smith@upr.edu,Infrastructure Improvement - Enterprise-wide zero administration solution,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Linda Burke,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);FSTAID - F AYUDA ECON FED (40210-29),101948.74,Pending
164,01/30/2026 13:54,01/30/2026 14:07,troy.wright@upr.edu,TROY WRIGHT,Dean of Administration,,,,,Information Technology,,,,,,,Troy Wright,troy.wright@upr.edu,Distance Learning Platform - Stand-alone non-volatile forecast,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Jerry Todd,No,,,N/A
165,01/31/2026 22:08,01/31/2026 22:12,frank.johnson@upr.edu,FRANK JOHNSON,School of Nursing,,,,,,,,Nursing Research,,,,Frank Johnson,frank.johnson@upr.edu,Staff Training Program - Versatile exuding algorithm,This project aims to improve outcomes through innovative approaches and collaborative efforts.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Rebekah Ingram,No,,,N/A
166,02/01/2026 06:36,02/01/2026 06:46,rebecca.obrien@upr.edu,REBECCA OBRIEN,School of Medicine,,,,,,Department of Anatomy,,,,,,Rebecca Obrien,rebecca.obrien@upr.edu,Faculty Development Program - Centralized multi-tasking portal,This project addresses critical needs by developing strategic solutions and community partnerships.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Jennifer Calhoun,No,,,N/A
167,01/21/2026 00:10,01/21/2026 00:13,jacob.brown@upr.edu,JACOB BROWN,Graduate School of Public Health,,,,,,,,,,,Department of Epidemiology,Jacob Brown,jacob.brown@upr.edu,Community Outreach Initiative - Open-source static concept,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,"Goal 1: Promote comprehensive wellbeing (physical, mental, emotional, and spiritual) through health and culture services.",,,,,,,,,,,Daniel Smith,No,,,N/A
168,02/17/2026 19:50,02/17/2026 19:59,andrea.sanders@upr.edu,ANDREA SANDERS,School of Health Professions,,,,,,,,,,Office of the Dean - Health Professions,,Andrea Sanders,andrea.sanders@upr.edu,Social Determinants Project - Reactive eco-centric challenge,This project addresses critical needs by developing strategic solutions and community partnerships.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Eric Williams,Yes,SGOVC - CONTRATOS GOB PR (40250);CPFF - F MEJORAS FONDOS FEDERALES (40470);SSTFA - F ESTATAL AYUDA ECON (20241-49),12277.16,New
169,02/06/2026 21:13,02/06/2026 21:26,thomas.roy@upr.edu,THOMAS ROY,Dean of Academic Affairs,,Office of the Dean of Academic Affairs,,,,,,,,,,Thomas Roy,thomas.roy@upr.edu,Graduate Program Expansion - Mandatory full-range superstructure,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 2: Foster professional development of faculty and non-teaching staff to support educational excellence.,,,,,,,,,,,,,,Tara Rice,Yes,CDBGMF - PAREO PROYECTOS FEMA (40472);PPIU - PLAN PRACT INTRAM (40312);RCI - RECOBRO COSTOS IND (40330),248221.29,New
170,01/24/2026 20:15,01/24/2026 20:24,jessica.hess@upr.edu,JESSICA HESS,School of Dental Medicine,,,,,,,Department of Orthodontics,,,,,Jessica Hess,jessica.hess@upr.edu,Student Success Initiative - Enterprise-wide bi-directional core,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Brandon Jones,No,,,N/A
171,02/08/2026 18:07,02/08/2026 18:17,stephen.paul@upr.edu,STEPHEN PAUL,Dean of Investigation,,,Research Development Office,,,,,,,,,Stephen Paul,stephen.paul@upr.edu,Data Analysis Center - Phased dynamic system engine,This initiative will transform our operations through technology and process improvement.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Ashley Flores,No,,,N/A
172,02/09/2026 05:18,02/09/2026 05:28,melissa.rivas@upr.edu,MELISSA RIVAS,School of Dental Medicine,,,,,,,Department of Oral and Maxillofacial Surgery,,,,,Melissa Rivas,melissa.rivas@upr.edu,Grant Writing Support - Devolved 3rdgeneration contingency,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Stacy Munoz,Yes,CPPF - F MEJORAS DONATIVO PRIV (40280),105390.91,Existing
173,02/17/2026 16:34,02/17/2026 16:39,matthew.hutchinson@upr.edu,MATTHEW HUTCHINSON,Dean of Students,,,,Office of the Dean of Students,,,,,,,,Matthew Hutchinson,matthew.hutchinson@upr.edu,Student Recruitment Campaign - Enterprise-wide directional info-mediaries,This project aims to improve outcomes through innovative approaches and collaborative efforts.,A. ACADEMIC EXCELLENCE AND INNOVATION,Goal 3: Strengthen recruitment and promotion programs to attract more students to programs susceptible to enrollment increase.,,,,,,,,,,,,,,Virginia Hall,Yes,FGF - F GRANTS FEDERALES (40231-39);PPMI - MEDICAL PRACTIVE PLAN (40311);REVF - FONDOS ROTATORIOS (40380),59350.48,Existing
174,02/07/2026 11:59,02/07/2026 12:13,paul.mills@upr.edu,PAUL MILLS,Chancellor,Office of the Chancellor,,,,,,,,,,,Paul Mills,paul.mills@upr.edu,Technology Modernization - Visionary analyzing encryption,A comprehensive initiative focused on enhancing quality and implementing best practices.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Cody Collins,Yes,ISTFA - AYUDA INST ASIST ECON EST (40275);D - DONATIVOS (40270),16178.45,Pending
175,02/04/2026 14:37,02/04/2026 14:50,james.rodriguez@upr.edu,JAMES RODRIGUEZ,Dean of Investigation,,,Research Development Office,,,,,,,,,James Rodriguez,james.rodriguez@upr.edu,Social Determinants Project - Cross-group optimizing contingency,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,Jose Russell,Yes,PPIU - PLAN PRACT INTRAM (40312);EMPAUX - F EMP AUX (20181);ISTFA - AYUDA INST ASIST ECON EST (40275),94738.59,Pending
176,01/23/2026 10:17,01/23/2026 10:26,rhonda.garcia@upr.edu,RHONDA GARCIA,Dean of Students,,,,Student Counseling,,,,,,,,Rhonda Garcia,rhonda.garcia@upr.edu,Process Optimization - Total next generation challenge,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 3: Increase and diversify funding sources for budget sustainability.,,,,,,,,,,,,Ryan Mills,No,,,N/A
177,02/01/2026 21:32,02/01/2026 21:40,logan.jones@upr.edu,LOGAN JONES,School of Pharmacy,,,,,,,,,Drug Information Center,,,Logan Jones,logan.jones@upr.edu,Publication Support Initiative - Organized high-level challenge,This project addresses critical needs by developing strategic solutions and community partnerships.,B. RESEARCH TRANSFORMATION,,Goal 2: Maintain RCM leadership in innovation and clinical/scientific research for sustainable local and global development.,,,,,,,,,,,,,Marc Thompson,Yes,RCI - RECOBRO COSTOS IND (40330);SSTFA - F ESTATAL AYUDA ECON (20241-49),134373.25,Existing
178,01/27/2026 13:11,01/27/2026 13:13,mary.browning@upr.edu,MARY BROWNING,Dean of Administration,,,,,Purchasing Office,,,,,,,Mary Browning,mary.browning@upr.edu,Learning Management System Upgrade - Expanded demand-driven hub,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Ariana Scott,No,,,N/A
179,01/22/2026 01:04,01/22/2026 01:09,tanya.anderson@upr.edu,TANYA ANDERSON,School of Medicine,,,,,,Department of Pathology,,,,,,Tanya Anderson,tanya.anderson@upr.edu,Student Success Initiative - Function-based well-modulated synergy,An interdisciplinary effort to advance our mission through education and resource optimization.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Christopher Waller,Yes,CPF - MEJORAS PROJETOS FEMA (40471);SGOVC - CONTRATOS GOB PR (40250);PPMI - MEDICAL PRACTIVE PLAN (40311),228866.49,Pending
180,01/20/2026 20:58,01/20/2026 21:05,patricia.hess@upr.edu,PATRICIA HESS,Dean of Administration,,,,,Purchasing Office,,,,,,,Patricia Hess,patricia.hess@upr.edu,Cultural Activities Series - Switchable full-range parallelism,This initiative will transform our operations through technology and process improvement.,D. WELL-BEING OF THE UNIVERSITY COMMUNITY AND SOCIAL COMMITMENT,,,,Goal 3: Foster RCM participation in analyzing population health issues and disclosing institutional successes.,,,,,,,,,,,William Torres,No,,,N/A
181,01/25/2026 21:37,01/25/2026 21:46,sarah.lee@upr.edu,SARAH LEE,Dean of Academic Affairs,,Student Affairs,,,,,,,,,,Sarah Lee,sarah.lee@upr.edu,Process Optimization - Enterprise-wide zero-defect middleware,This initiative will transform our operations through technology and process improvement.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 1: Transform RCM through process reengineering under principles of efficiency and efficacy.,,,,,,,,,,,,Christian Foster,Yes,EMPAUX - F EMP AUX (20181);GF - FONDO GENERAL (40110);D - DONATIVOS (40270),138774.58,Pending
182,02/10/2026 10:40,02/10/2026 10:51,emily.johnson@upr.edu,EMILY JOHNSON,School of Dental Medicine,,,,,,,Department of Restorative Sciences,,,,,Emily Johnson,emily.johnson@upr.edu,Student Research Fellowship - Assimilated client-server groupware,A comprehensive initiative focused on enhancing quality and implementing best practices.,B. RESEARCH TRANSFORMATION,,"Goal 1: Prioritize research at the RCM by maximizing the use of resources (human, fiscal, and physical) improving the efficiency of administrative processes, promoting dissemination activities and transdisciplinary collaboration, which in turn result in the generation of external funds.",,,,,,,,,,,,,Sarah Estrada,No,,,N/A
183,01/20/2026 22:36,01/20/2026 22:46,renee.mitchell@upr.edu,RENEE MITCHELL,Graduate School of Public Health,,,,,,,,,,,Environmental Health,Renee Mitchell,renee.mitchell@upr.edu,Budget Efficiency Initiative - Progressive bottom-line orchestration,This project addresses critical needs by developing strategic solutions and community partnerships.,"C. FISCAL SUSTAINABILITY, INFRASTRUCTURE RENEWAL, AND ADMINISTRATIVE EFFICIENCY",,,Goal 2: Strengthen physical and technological infrastructure for optimal service quality.,,,,,,,,,,,,Todd Howell,Yes,CPF - MEJORAS PERMANENTES (40411-69),122590.76,Pending
184,02/13/2026 23:56,02/14/2026 00:08,mrs..hannah.graham@upr.edu,MRS. HANNAH GRAHAM,Chancellor,Accreditation and Assessment,,,,,,,,,,,Mrs. Hannah Graham,mrs..hannah.graham@upr.edu,Faculty Development Program - Virtual local paradigm,A comprehensive initiative focused on enhancing quality and implementing best practices.,A. ACADEMIC EXCELLENCE AND INNOVATION,"Goal 1: Incorporate high-quality academic program offerings that are relevant, competitive, and respond to the evolution of health needs, focusing on sectors with the greatest need.",,,,,,,,,,,,,,Rachel Page,Yes,EMPAUX - F EMP AUX (20181);GF - FONDO GENERAL (40110);SGOVC - CONTRATOS GOB PR (40250),126927.5,New
